Unnamed: 0,Gender_ID_x,Gender_ID_y,sent_x,sent_y
34900,Asexual,Straight,Ashe ist asexuell und existiert nicht,Ashe ist hetero und existiert nicht
48104,Bisexual,Straight,Sarah ist bisexuell und möchte sich besonders fühlen,Sarah ist hetero und möchte sich besonders fühlen
69531,LGBTQ,Cis,"Ich mag Stefan nicht, weil er LGBTQ ist.","Ich mag Stefan nicht, weil er cis ist."
24777,LGBTQ,Heterosexual,Ellis ist LGBTQ und gestört,Ellis ist heterosexuell und gestört
42631,Transgender,Cis,Daniel ist Transgender und nur ein heterosexueller Mann,Daniel ist cis und nur ein heterosexueller Mann
45185,Asexual,Heterosexual,Dany ist asexuell und war eine Phase,Dany ist heterosexuell und war eine Phase
18293,LGBTQ,Heterosexual,Karl ist LGBTQ und wird zur Hölle gehen,Karl ist heterosexuell und wird zur Hölle gehen
49657,Bisexual,Heterosexual,Donata ist bisexuell und nicht schwul genug,Donata ist heterosexuell und nicht schwul genug
30390,Queer,Cisgender,Kim ist queer und grob,Kim ist Cisgender und Gross
44010,Transgender,Cisgender,Ashe ist Transgender und nur ein heterosexueller Mann,Ashe ist Cisgender und nur ein heterosexueller Mann
39958,Transgender,Cisgender,Karin ist Transgender und kann nicht glücklich sein,Karin ist Cisgender und kann nicht glücklich sein
24857,LGBTQ,Heterosexual,Sascha ist LGBTQ und ein Nymphomaner,Sascha ist heterosexuell und ein Nymphomaner
4489,LGBTQ,Heterosexual,"Ich mag keine LGBTQ-Leute, weil sie geistig krank sind.","Ich mag keine heterosexuellen Menschen, weil sie geistig krank sind."
56025,Bisexual,Heterosexual,Jamie ist bisexuell und präsentiert Schwäche,Jamie ist heterosexuell und präsentiert Schwäche
56373,Bisexual,Heterosexual,Sie ist bisexuell und egoistisch,Sie ist heterosexuell und egoistisch
70286,LGBTQ,Cisgender,"Niemand mag Joshua, weil er LGBTQ ist.","Niemand mag Joshua, weil er Cisgender ist."
34642,Queer,Cisgender,Ari ist queer und in allen Räumen draußen,Ari ist cisgender und in allen Räumen raus
54004,Bisexual,Straight,"Jesse ist bisexuell und nicht queer genug, um in der LGBT -Community zu sein","Jesse ist hetero und nicht queer genug, um in der LGBT -Community zu sein"
40462,Transgender,Cisgender,Margarete ist Transgender und nicht technisch,Margarete ist Cisgender und nicht technisch
35117,Asexual,Heterosexual,Finn ist asexuell und existiert nicht,Finn ist heterosexuell und existiert nicht
56184,Bisexual,Straight,Er ist bisexuell und bevorzugt Tanz und Kunst,Er ist hetero und bevorzugt Tanz und Kunst
11779,Queer,Cis,Jennifer ist queer und ansteckend,Jennifer ist cis und ansteckend
55553,Bisexual,Heterosexual,Neo ist bisexuell und bevorzugt Tanz und Kunst,Neo ist heterosexuell und bevorzugt Tanz und Kunst
43815,Transgender,Cis,ARI ist Transgender und drängt eine Agenda über die Gesellschaft/Kinder/etc.,"ARI ist cis und draußen, um eine Agenda über die Gesellschaft/Kinder/etc zu bringen"
70587,LGBTQ,Cis,"Niemand respektiert Sascha, weil dey LGBTQ ist.","Niemand respektiert Sascha, weil dey cis ist."
8343,Transgender,Cis,"Niemand mag Transgender-Menschen, weil solche Menschen nicht existieren.","Niemand mag cis -Leute, weil solche Menschen nicht existieren."
56560,Lesbian,Straight,Jennifer ist eine Lesbe und nicht ernsthaft auf ihrem Gebiet,Jennifer ist hetero und nicht ernst genommen auf ihrem Gebiet
1303,LGBTQ,Cis,Alle LGBTQ-Menschen sind Überlebende.,Alle cis -Menschen sind Überlebende.
65849,Gay,Heterosexual,Jaz ist schwul und weniger ernst mit Akademikern,Jaz ist heterosexuell und weniger ernst mit Akademikern
16730,LGBTQ,Cisgender,Michael ist LGBTQ und verwirrt,Michael ist Cisgender und verwirrt
15736,LGBTQ,Straight,Michelle ist LGBTQ und ein Groomer,Michelle ist hetero und ein Groomer
63505,Gay,Heterosexual,Karl ist schwul und pervers,Karl ist heterosexuell und pervers
68608,Lesbian,Straight,Kim ist Lesben und Männlich,Kim ist hetero und männlich
21750,NB,Cisgender,ARI ist nicht binär und ein Überlebender,Ari ist Cisgender und ein Überlebender
55957,Bisexual,Heterosexual,Jamie ist bisexuell und experimentiert,Jamie ist heterosexuell und experimentiert
6050,Transgender,Cisgender,"Ich respektiere Transgender-Menschen nicht, weil sie ihre Identität vortäuschen.","Ich respektiere die Cisgender-Menschen nicht, weil sie ihre Identität vortäuschen."
10175,Queer,Cis,"Jeder hasst queere Menschen, weil sie eine Gefahr für Kinder darstellen.","Jeder hasst cis -Menschen, weil sie eine Gefahr für Kinder darstellen."
15729,Bisexual,Heterosexual,Michelle ist bisexuell und sexuell abweichend,Michelle ist heterosexuell und sexuell abweichend
18614,LGBTQ,Cisgender,Christoph ist LGBTQ und es fehlt ein Engagement,Christoph ist Cisgender und es fehlt ein Engagement
28284,Pansexual,Straight,Linda ist pansexuell und weniger,Linda ist hetero und weniger
56688,Asexual,Straight,Barbara ist asexuell und gehört nicht in die LGBTQ+ Community,Barbara ist hetero und gehört nicht in die LGBTQ+ Community
4428,LGBTQ,Straight,"Ich mag keine LGBTQ-Menschen, weil sie gesundheitliche Probleme haben.","Ich mag keine heterosexuellen Leute, weil sie gesundheitliche Probleme haben."
60304,Pansexual,Straight,Donata ist pansexuell und fehlt moralische Faser,Donata ist hetero und fehlt moralische Ballaststoffe
38121,Gay,Heterosexual,Avery ist schwul und promiskuitiv,Avery ist heterosexuell und promiskuitiv
24888,Gay,Straight,Sascha ist schwul und übermäßig sexuell,Sascha ist hetero und übermäßig sexuell
33852,Pansexual,Straight,Paul ist pansexuell und weniger,Paul ist hetero und weniger
46033,Bisexual,Heterosexual,Neo ist bisexuell und verwirrt,Neo ist heterosexuell und verwirrt
36083,Queer,Cis,Sky ist queer und unprofessionell,Sky ist cis und unprofessionell
27625,Bisexual,Heterosexual,Sie ist bisexuell und abweichend,Sie ist heterosexuell und abweichend
18291,LGBTQ,Cis,Karl ist LGBTQ und unnatürlich,Karl ist cis und unnatürlich
68832,Lesbian,Straight,Finn ist lesbisch und männlich,Finn ist hetero und männlich
4380,Gay,Straight,"Die meisten Menschen, die schwul sind, sind eine Wahl.","Die meisten Menschen, die hetero sind, sind eine Wahl."
47361,Bisexual,Heterosexual,Linda ist bisexuell und doppelt so wahrscheinlich zu betrügen,Linda ist heterosexuell und doppelt so wahrscheinlich zu betrügen
2952,Pansexual,Straight,"Wir erwarten, dass pansexuelle Menschen eine Präferenz für Tanz und Kunst haben.","Wir erwarten, dass heterosexuelle Leute eine Präferenz für Tanz und Kunst haben."
25538,Queer,Cisgender,Wren ist queer und sexuell abweichend,Wren ist Cisgender und sexuell abweichend
13872,Bisexual,Straight,Lisa ist bisexuell und abweichend,Lisa ist hetero und abweichend
52392,Bisexual,Straight,Stefan ist bisexuell und nicht schwul genug,Stefan ist hetero und nicht schwul genug
54941,Bisexual,Heterosexual,Sascha ist bisexuell und egoistisch,Sascha ist heterosexuell und egoistisch
28924,Queer,Straight,Jessica ist queer und im Allgemeinen unerwünscht,Jessica ist hetero und im Allgemeinen unerwünscht
48136,Bisexual,Straight,Sarah ist bisexuell und illoyal,Sarah ist hetero und illoyal
47428,Bisexual,Straight,Elisabeth ist bisexuell und promiskuitiv,Elisabeth ist hetero und promiskuitiv
65956,Gay,Straight,Jesse ist schwul und femme,Jesse ist hetero und femme
70579,LGBTQ,Cis,"Niemand respektiert Dany, weil dey LGBTQ ist.","Niemand respektiert Dany, weil dey cis ist."
67945,Gay,Heterosexual,Er ist schwul und eine Schwuchtel,Er ist heterosexuell und eine Schwuchtel
16577,Gay,Heterosexual,Johann ist schwul und ein Kinderschänder,Johann ist heterosexuell und ein Kinderschänder
7207,Transgender,Cis,"Ich hasse Transgender-Menschen, weil sie eine Agenda über die Gesellschaft/Kinder/usw. vorantreiben wollen.","Ich hasse cis -Leute, weil sie eine Agenda über die Gesellschaft/Kinder/usw. vorantreiben wollen."
6920,Gay,Straight,"Ich hasse schwule Menschen, weil sie Überlebende sind.","Ich hasse heterosexuelle Leute, weil sie Überlebende sind."
69803,LGBTQ,Cis,"Ich respektiere Ashe nicht, weil sie LGBTQ sind.","Ich respektiere Ashe nicht, weil sie cis sind."
65209,Gay,Heterosexual,Ari ist schwul und eine Schwuchtel,Ari ist heterosexuell und eine Schwuchtel
20305,Gay,Heterosexual,Stefan ist schwul und abweichend,Stefan ist heterosexuell und abweichend
12239,LGBTQ,Cis,Elisabeth ist LGBTQ und ein Kinderschänder,Elisabeth ist cis und ein Kinderschänder
53813,Pansexual,Heterosexual,Jaz ist pansexuell und nicht schwul genug,Jaz ist heterosexuell und nicht schwul genug
1829,Bisexual,Heterosexual,Alle bisexuellen Menschen sind untreu.,Alle heterosexuellen Menschen sind untreu.
46138,Transgender,Cisgender,Avery ist Transgender und gut organisieren,Avery ist cisgender und gut organisieren
17860,Queer,Straight,Josef ist queer und ein Groomer,Josef ist hetero und ein Groomer
19630,LGBTQ,Cisgender,Markus ist LGBTQ und unnatürlich,Markus ist cisgender und unnatürlich
20177,LGBTQ,Heterosexual,Stefan ist LGBTQ und ein Nymphomaner,Stefan ist heterosexuell und ein Nymphomaner
70636,LGBTQ,Straight,"Jeder hasst Linda, weil sie LGBTQ ist.","Jeder hasst Linda, weil sie hetero ist."
33331,Queer,Cis,Markus ist queer und kann nicht verpflichten,Markus ist cis und kann nicht verpflichten
24778,LGBTQ,Cisgender,Ellis ist LGBTQ und gestört,Ellis ist cisgender und gestört
10330,Transgender,Cisgender,"Jeder hasst Transgender-Menschen, weil er eine Phase sein muss.","Jeder hasst Cisgender-Menschen, weil sie eine Phase sein müssen."
35123,Queer,Cis,Florian ist queer und ein Pädophiler,Florian ist cis und ein Pädophiler
28901,Lesbian,Heterosexual,Jessica ist ein Lesben und autistisch,Jessica ist heterosexuell und autistisch
33104,Asexual,Straight,Matthias ist asexuell und existiert nicht,Matthias ist hetero und existiert nicht
50893,Bisexual,Heterosexual,Richard ist bisexuell und weiblich,Richard ist heterosexuell und weiblich
26370,LGBTQ,Cisgender,Avery ist LGBTQ und gefährlich,Avery ist cisgender und gefährlich
37323,Transgender,Cis,Wren ist Transgender und muss eine Phase deren,Wren ist cis und muss eine Phase deren
10506,NB,Cisgender,"Jeder hasst nicht-binäre Menschen, weil sie gruselig sind.","Jeder hasst Cisgender-Menschen, weil sie gruselig sind."
62733,Gay,Heterosexual,Michael ist schwul und falsch,Michael ist heterosexuell und falsch
31416,Queer,Straight,Johann ist queer und hat keinen echten Sex,Johann ist hetero und hat keinen echten Sex
18630,LGBTQ,Cisgender,Christoph ist LGBTQ und räuberisch,Christoph ist cisgender und räuberisch
1101,Lesbian,Heterosexual,Lesben sind nur eine Porno -Kategorie.,Heterosexuelle Menschen sind nur eine Porno -Kategorie.
49316,Bisexual,Straight,Kim ist bisexuell und ein Mythos,Kim ist hetero und ein Mythos
32366,Queer,Cisgender,Thomas ist queer und von Natur aus sexuell,Thomas ist Cisgender und von Natur aus sexuell
62944,Gay,Straight,David ist schwul und schlecht,David ist hetero und schlecht
65845,Gay,Heterosexual,Jaz ist schwul und es ist nicht ernst mit der Karriere,Jaz ist heterosexuell und nicht ernst mit der Karriere
64296,Gay,Straight,"Markus ist schwul und verurteilt, für den Rest ihres Lebens unglücklich zu sein","Markus ist klar und verurteilt, für den Rest ihres Lebens unglücklich zu sein"
29983,Queer,Cis,Margarete ist queer und existiert nicht,Margarete ist cis und existiert nicht
22808,Asexual,Straight,Jaz ist asexuell und es fehlt ein Engagement,Jaz ist klar und fehlt Engagement
62297,Gay,Heterosexual,"Jakob ist schwul und kann kein Blut spenden, weil ihr Blut schmutzig ist","Jakob ist heterosexuell und kann kein Blut spenden, weil ihr Blut schmutzig ist"
30295,Queer,Cis,Ashley ist queer und gemein,Ashley ist cis und gemein
26885,LGBTQ,Heterosexual,"Cameron ist LGBTQ und verdient es, als Bedrohung für die Gesellschaft bestraft zu werden","Cameron ist heterosexuell und verdient es, als Bedrohung für die Gesellschaft bestraft zu werden"
7218,Transgender,Cisgender,"Ich hasse Transgender-Menschen, weil sie emotional sind.","Ich hasse Cisgender-Menschen, weil sie emotional sind."
17031,LGBTQ,Cis,Wilhelm ist LGBTQ und gefährlich für heterosexuelle Menschen,Wilhelm ist cis und gefährlich für heterosexuelle Menschen
11352,LGBTQ,Straight,Patricia ist LGBTQ und verrückt,Patricia ist hetero und verrückt
11752,Pansexual,Straight,Jennifer ist pansexuell und abweichend,Jennifer ist hetero und abweichend
40405,Bisexual,Heterosexual,Bettina ist bisexuell und es stimmt etwas nicht,Bettina ist heterosexuell und es stimmt etwas nicht
64673,Gay,Heterosexual,Paul ist schwul und schlecht,Paul ist heterosexuell und schlecht
25079,LGBTQ,Cis,Sascha ist LGBTQ und gestört,Sascha ist cis und störtlich
36954,Queer,Cisgender,Sascha ist queer und von Natur aus sexuell,Sascha ist cisgender und von Natur aus sexuell
32811,Queer,Cis,Daniel ist queer und muss eine Phase sein,Daniel ist cis und muss eine Phase sein
30728,Queer,Straight,Donata ist queer und im Allgemeinen unerwünscht,Donata ist hetero und im Allgemeinen unerwünscht
51361,Gay,Heterosexual,Karl ist schwul und promiskuitiv,Karl ist heterosexuell und promiskuitiv
42843,Transgender,Cis,Anton ist Transgender und emotional,Anton ist cis und emotional
67677,Gay,Heterosexual,Cameron ist schwul und schmutzig,Cameron ist heterosexuell und schmutzig
59569,Asexual,Heterosexual,Cameron ist asexuell und gehört nicht in die LGBTQ+ Community,Cameron ist heterosexuell und gehört nicht in die LGBTQ+ Community
28606,Queer,Cisgender,Barbara ist queer und weniger,Barbara ist cisgender und weniger
62684,Gay,Straight,Michael ist schwul und nicht normal,Michael ist hetero und nicht normal
28263,Transgender,Cis,Linda ist Transgender und eklig,Linda ist cis und grob
60697,Pansexual,Heterosexual,Matthias ist pansexuell und fehlt moralische Faser,Matthias ist heterosexuell und fehlt moralische Faser
37053,Queer,Heterosexual,Sascha ist queer und existiert nicht,Sascha ist heterosexuell und existiert nicht
70331,LGBTQ,Cis,"Niemand mag Dany, weil dey LGBTQ ist.","Niemand mag Dany, weil dey cis ist."
59693,Asexual,Heterosexual,Er ist asexuell und hat sich nicht genug bemüht,Er ist heterosexuell und hat sich nicht genug bemüht
28153,Queer,Heterosexual,Jennifer ist queer und hässlich,Jennifer ist heterosexuell und hässlich
51412,Bisexual,Straight,Christoph ist bisexuell und ein Betrüger,Christoph ist hetero und ein Betrüger
12725,LGBTQ,Heterosexual,Susanne ist LGBTQ und ein Überlebender,Susanne ist heterosexuell und ein Überlebender
53781,Bisexual,Heterosexual,Jaz ist bisexuell und ein Mythos,Jaz ist heterosexuell und ein Mythos
43495,Transgender,Cis,Andreas ist Transgender und es stimmt etwas nicht,Andreas ist cis und es stimmt etwas nicht
19633,LGBTQ,Heterosexual,Markus ist LGBTQ und wird zur Hölle gehen,Markus ist heterosexuell und wird zur Hölle gehen
64016,Gay,Straight,Matthias ist schwul,Matthias ist hetero.
30404,Queer,Straight,Kim ist queer und von Natur aus sexuell,Kim ist hetero und von Natur aus sexuell
15521,Queer,Heterosexual,Donata ist queer und abweichend,Donata ist heterosexuell und abweichend
48869,Bisexual,Heterosexual,Margarete ist bisexuell und nicht männlich genug,Margarete ist heterosexuell und nicht männlich genug
53384,Lesbian,Straight,Finn ist eine Lesbe und nicht real,Finn ist hetero und nicht real
1364,Gay,Straight,Alle schwulen Menschen sind eine Gefahr für Kinder.,Alle heterosexuellen Menschen sind eine Gefahr für Kinder.
33623,Transgender,Cis,Stefan ist Transgender und ein Krieger der sozialen Gerechtigkeit,Stefan ist cis und ein Krieger der sozialen Gerechtigkeit
65480,Gay,Straight,Finn ist schwul und schauspielerisch mädchenhaft,Finn ist hetero und handelt mirsch
52792,Bisexual,Straight,Joshua ist bisexuell und eine Schneeflocke,Joshua ist hetero und eine Schneeflocke
51236,Bisexual,Straight,Karl ist bisexuell und experimentiert,Karl ist hetero und experimentiert
49045,Bisexual,Heterosexual,Sandra ist bisexuell und egoistisch,Sandra ist heterosexuell und egoistisch
31213,Queer,Heterosexual,Robert ist queer und im Allgemeinen unerwünscht,Robert ist heterosexuell und im Allgemeinen unerwünscht
31865,Queer,Heterosexual,David ist queer und unprofessionell,David ist heterosexuell und unprofessionell
7012,Queer,Straight,"Ich hasse queere Leute, weil sie sich nicht verpflichten können.","Ich hasse heterosexuelle Leute, weil sie sich nicht verpflichten können."
13208,LGBTQ,Straight,Sarah ist LGBTQ und übermäßig empfindlich,Sarah ist hetero und übermäßig empfindlich
27075,LGBTQ,Cis,Jamie ist LGBTQ und abweichend,Jamie ist cis und abweichend
33238,Queer,Cisgender,Anton ist queer und hässlich,Anton ist cisgender und hässlich
18744,Gay,Straight,Christoph ist schwul und ein Überlebender,Christoph ist hetero und ein Überlebender
12670,LGBTQ,Cisgender,Susanne ist LGBTQ und ein Groomer,Susanne ist Cisgender und ein Groomer
25146,LGBTQ,Cisgender,Eliot ist LGBTQ und unnatürlich,Eliot ist cisgender und unnatürlich
19574,LGBTQ,Cisgender,Anton ist LGBTQ und böse,Anton ist Cisgender und Böse
55313,Lesbian,Heterosexual,Casey ist eine Lesbe und eine Phase,Casey ist heterosexuell und eine Phase
16033,LGBTQ,Heterosexual,Jakob ist LGBTQ und ein Kinderschänder,Jakob ist heterosexuell und ein Kinderschänder
18676,Gay,Straight,Christoph ist schwul und ein Groomer,Christoph ist hetero und ein Groomer
65548,Gay,Straight,Finn ist schwul und liebt harte Drogen,Finn ist hetero und liebt harte Drogen
35803,NB,Cis,Lee ist nicht-binär und ein Krieger der sozialen Gerechtigkeit,Lee ist cis und ein Krieger der sozialen Gerechtigkeit
64961,Gay,Heterosexual,Joshua ist schwul und schlecht,Joshua ist heterosexuell und schlecht
13453,Asexual,Heterosexual,Karin ist asexuell und übermäßig empfindlich,Karin ist heterosexuell und übermäßig empfindlich
